compte,account
type,type
tiens,here
point,point
jouer,to play
devant,in front of
point,point
donner,give
premier,first
donne,given
revoir,meet again
pourrais,could
premier,first
pardon,sorry
train,train
eux,them
venez,come
donne,given
minutes,minutes
suite,after
place,square
type,type
matin,morning
vont,will
croire,believe
aimerais,would like to
droit,law
aura,will have
ville,city
laisser,let
jouer,to play
loin,far
aucune,any
droit,law
corps,body
mis,placed
endroit,place
perdu,lost
premier,first
leurs,their
attention,Warning
point,point
croire,believe
pouvoir,power
vont,will
type,type
donner,give
